time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
4509209,91,757,146,143,480,360,438,8,11
4517183,91,757,146,144,480,360,438,8,11
4525183,91,757,146,143,480,360,438,8,11
4533185,91,757,146,144,480,360,438,8,11
4541183,91,757,146,143,480,360,438,8,11
4549183,91,757,146,144,480,360,438,8,11
4557183,91,757,146,143,480,360,438,8,11
4565183,91,757,146,144,480,360,438,8,11
4573185,91,757,146,143,480,360,438,8,11
4581183,91,757,146,144,480,360,438,8,11
4590807,91,757,146,143,480,360,438,8,12
4597184,91,757,146,144,480,361,438,8,11
4605183,91,756,144,142,481,359,437,8,12
4613185,91,756,147,143,480,361,439,8,12
4621183,92,757,147,145,480,360,438,8,12
4629183,91,757,146,144,480,361,438,8,11
4637183,91,757,147,144,480,360,438,8,11
4645183,91,757,146,143,480,360,438,8,11
4653185,91,757,146,144,480,360,438,8,11
4661183,91,757,146,143,480,360,438,8,11
4669183,92,757,146,144,480,360,439,8,11
4677183,91,757,146,143,480,360,438,8,11
4685183,91,757,146,144,480,360,438,8,11
4693185,91,757,146,143,480,360,438,8,11
4701183,92,757,146,144,480,360,438,8,11
4709183,91,757,146,143,480,360,438,8,11
4717183,91,756,146,144,480,360,438,8,11
4725184,91,757,146,143,480,360,438,8,11
4733185,91,757,146,144,480,360,438,8,12
4741183,91,757,146,143,480,360,438,8,11
4749183,91,757,146,144,480,360,438,8,11
4757183,91,757,146,144,480,360,438,8,11
4765183,91,757,146,144,480,360,438,8,11
4773185,91,757,146,144,480,360,438,8,12
4781183,91,757,147,144,480,360,438,8,11
4789183,92,757,146,144,480,360,438,8,12
4797183,92,757,147,144,480,360,438,7,12
4805183,91,757,146,144,480,360,438,8,11
4813187,92,757,146,144,480,360,438,7,11
4821183,91,757,146,144,480,360,438,7,11
4829183,92,757,147,143,480,360,438,8,12
4837183,91,757,146,144,480,360,438,8,12
4845183,91,756,146,143,480,360,438,8,11
4853185,91,757,146,145,480,360,438,8,12
4861183,91,757,146,144,480,360,438,8,12
4869183,91,757,146,145,480,360,438,8,11
4877183,91,757,146,143,480,360,438,8,11
4885183,91,757,146,144,480,360,438,8,12
4893186,92,757,146,143,480,360,438,8,11
4901183,92,757,146,144,480,360,438,8,12
4909183,92,757,146,143,480,360,438,8,12
4917183,91,756,146,144,480,360,438,8,12
4925183,92,757,146,143,480,360,438,8,12
4933185,92,756,146,144,480,360,438,8,11
4941183,92,757,146,144,480,360,438,8,11
4949183,91,757,146,144,480,360,438,8,12
4957183,92,757,146,144,480,360,438,8,12
4965183,91,757,146,144,480,360,437,8,11
4973185,92,757,146,143,480,360,438,8,11
4981183,92,757,146,144,480,360,438,8,11
4989183,91,757,146,144,480,360,438,8,11
4997183,91,757,146,144,480,360,438,8,12
5005183,91,757,146,144,480,360,438,7,11
5013185,91,757,146,143,480,360,438,8,12
5021183,91,757,146,144,480,360,437,8,11
5029183,91,757,146,143,480,360,438,8,11
5037183,91,757,146,144,480,360,438,8,11
5045183,91,757,146,143,480,360,439,8,11
